date,actor,military_activity_score,diplomatic_activity_score,proxy_activity_score,infrastructure_coercion_score,maritime_pressure_score,rhetorical_escalation_score,confidence_of_coding,dominant_posture,key_trigger,key_response,main_theater,notes
2026-03-21,US,2,1,0,2,1,3,High,Pressuring,Iran long-range strikes and Hormuz disruption,Issued 48-hour power-plant ultimatum and shipping pressure,GulfHormuz,Washington paired the Diego Garcia shock with an infrastructure ultimatum over Hormuz.
2026-03-21,Israel,3,0,2,1,0,2,High,Escalating,Iranian missile strikes near Dimona,Struck Tehran and Beirut while vowing continued attacks,MultiTheater,Israel kept high-tempo strikes in Iran and Lebanon after the Dimona-area hit.
2026-03-21,Iran,3,0,1,2,2,3,High,Escalating,Israeli strikes and Trump ultimatum,Fired long-range missiles and signaled selective Hormuz control,MultiTheater,Tehran widened missile reach and tied coercion to shipping access.
2026-03-21,Hezbollah,2,0,2,0,0,1,Medium,Retaliating,Continued Israeli attacks in Beirut and south Lebanon,Kept cross-border rocket pressure active,Lebanon,Hezbollah stayed active on the Lebanon front without becoming the main escalator.
2026-03-21,Hashd,0,0,1,0,0,0,Low,Holding,Regional war expansion,Remained latent while U.S. base risk persisted,Iraq,Iraqi partner forces remained structurally relevant but not operationally central.
2026-03-21,Houthis,0,0,1,0,1,0,Low,Holding,Wider maritime confrontation,Stayed secondary to Hormuz pressure,YemenRedSea,Houthi relevance stayed mostly latent as Hormuz dominated maritime coercion.
2026-03-22,US,2,1,0,2,1,2,High,Pressuring,Iranian threats to Gulf infrastructure,Kept power-plant threat active and backed regional defenses,GulfHormuz,Washington kept coercive pressure high while avoiding the final infrastructure strike.
2026-03-22,Israel,3,0,1,1,0,2,High,Escalating,Continued Iranian missile and drone alerts,Struck Tehran military and production sites again,Iran,Israel sustained battlefield pressure despite the growing infrastructure crisis.
2026-03-22,Iran,2,1,1,3,3,3,High,Pressuring,Trump ultimatum and continued Israeli strikes,Threatened Gulf infrastructure and kept selective Hormuz access,GulfHormuz,Tehran mixed closure threats with selective passage claims to maximize leverage.
2026-03-22,Hezbollah,1,0,2,0,0,1,Medium,Retaliating,Israeli attacks and wider regional escalation,Sustained bounded exchanges from Lebanon,Lebanon,The Lebanon front remained live but secondary to direct state coercion.
2026-03-22,Hashd,0,0,1,0,0,0,Low,Holding,Rising anti-U.S. climate,Stayed a latent reserve rather than an active front,Iraq,Iraq stayed a background escalation channel rather than the main mechanism.
2026-03-22,Houthis,0,0,1,0,1,0,Low,Holding,Regional maritime pressure,Remained secondary and not clearly leading Red Sea action,YemenRedSea,Houthi relevance remained mostly structural rather than operational.
2026-03-23,US,1,3,0,1,1,2,High,Negotiating,Market shock and mediator pressure after the ultimatum,Extended the deadline and publicized productive contacts,Diplomatic,Washington shifted into deadline management without easing the war.
2026-03-23,Israel,3,0,2,1,0,2,High,Escalating,Iranian strikes and no binding diplomatic restraint,Sustained attacks in Tehran and Lebanon,MultiTheater,Israel kept operating at tempo while diplomacy stayed indirect and fragile.
2026-03-23,Iran,2,2,1,2,2,2,High,Mixed,U.S. claims of productive contacts and ongoing strikes,Denied talks while maintaining coercive shipping pressure,GulfHormuz,Tehran treated diplomacy as messaging while preserving battlefield leverage.
2026-03-23,Hezbollah,1,0,2,0,0,1,Medium,Holding,Continued Israeli attacks in Lebanon,Maintained active-bounded fire,Lebanon,Hezbollah stayed engaged but did not redefine the week's main escalation lane.
2026-03-23,Hashd,0,0,1,0,0,0,Low,Holding,Regional instability and U.S. exposure,Remained latent without major attributable action,Iraq,Iraqi partner forces stayed mostly in reserve.
2026-03-23,Houthis,0,0,0,0,1,0,Low,Holding,Persistent shipping crisis,Stayed secondary to the Hormuz-centered contest,YemenRedSea,The Red Sea angle remained overshadowed by Hormuz.
2026-03-24,US,2,3,0,1,2,2,High,Mixed,Iranian denials and the shipping crisis,Sent a 15-point plan while deploying airborne troops and Marines,MultiTheater,The U.S. paired a mediated proposal with visible reinforcement.
2026-03-24,Israel,3,0,2,1,0,2,High,Escalating,Ongoing Iranian missile waves and exclusion from talks,Kept striking Iran and Lebanon outside the diplomatic track,MultiTheater,Israel signaled it would not let indirect talks govern its tempo.
2026-03-24,Iran,2,1,1,2,2,2,High,Pressuring,U.S. 15-point proposal and continued strikes,Denied direct talks and kept missile and shipping pressure active,MultiTheater,Tehran used denial and continued coercion to answer the ceasefire push.
2026-03-24,Hezbollah,2,0,2,0,0,1,Medium,Retaliating,Israeli attacks in Beirut and southern Lebanon,Kept the Lebanon front active and costly,Lebanon,Hezbollah remained a live supporting front rather than the main organizer.
2026-03-24,Hashd,0,0,1,0,0,0,Low,Holding,Broader anti-U.S. conflict climate,Stayed secondary as other fronts dominated,Iraq,Iraq still mattered more as latent risk than as daily action.
2026-03-24,Houthis,0,0,1,0,1,0,Low,Holding,Maritime confrontation and regional war expansion,Remained a secondary pressure option,YemenRedSea,The Houthis were relevant mainly as a potential widening mechanism.
2026-03-25,US,2,2,0,1,2,3,High,Pressuring,Iranian rejection of the ceasefire plan,Sustained force buildup and threatened much harder strikes,MultiTheater,Washington used diplomacy and coercion as parallel tools after the rejection.
2026-03-25,Israel,3,0,2,1,0,2,High,Escalating,Iranian rejection and ongoing attacks,Struck Tehran again and kept heavy pressure on Lebanon,MultiTheater,Israel preserved high operational tempo during the diplomatic impasse.
2026-03-25,Iran,2,1,1,2,3,3,High,Pressuring,U.S. pressure and reinforcement after the failed proposal,Rejected the plan and demanded Hormuz sovereignty,GulfHormuz,Tehran hardened its bargaining position without reducing coercion.
2026-03-25,Hezbollah,1,0,2,0,0,1,Medium,Holding,Continued Israeli pressure in Lebanon,Maintained active-bounded exchanges,Lebanon,Hezbollah remained active but still did not become the main escalator.
2026-03-25,Hashd,1,0,1,0,0,0,Low,Holding,Regional anti-U.S. spillover and Iraq insecurity,Stayed latent despite rising Iraqi war exposure,Iraq,Iraqi spillover rose but partner-force activation still lagged other fronts.
2026-03-25,Houthis,0,0,1,0,1,0,Low,Holding,Persistent shipping pressure and widening war,Remained secondary to Hormuz-centered coercion,YemenRedSea,The Houthis stayed in the background as maritime risk persisted.
2026-03-26,US,2,2,0,1,2,2,High,Pressuring,Iranian impasse and tighter Hormuz control,Extended the deadline again and reinforced coalition planning,GulfHormuz,Another U.S. extension looked like bargaining leverage rather than de-escalation.
2026-03-26,Israel,3,0,2,1,0,2,High,Escalating,Continued Iranian pressure and stalled talks,Intensified strikes and claimed senior IRGC naval kills,Iran,Israel kept widening battlefield pressure while diplomacy remained indirect.
2026-03-26,Iran,2,1,1,2,3,3,High,Pressuring,Deadline extension and Israeli naval-linked strikes,Tightened toll-like Hormuz control while sustaining attacks,GulfHormuz,Tehran made the maritime choke point more organized and coercive.
2026-03-26,Hezbollah,2,0,2,0,0,1,Medium,Retaliating,Israeli expansion in southern Lebanon,Kept active-bounded exchanges on the northern front,Lebanon,The Lebanon front stayed costly without becoming the week's main widening lane.
2026-03-26,Hashd,0,0,1,0,0,0,Low,Holding,Broader U.S.-Iran impasse,Remained latent and non-leading,Iraq,Iraq remained a reserve escalation theater rather than a driving front.
2026-03-26,Houthis,0,0,1,0,1,0,Low,Holding,Worsening maritime confrontation,Stayed secondary to the Hormuz crisis,YemenRedSea,Houthi relevance stayed conditional despite worsening sea-lane risk.
2026-03-27,US,1,2,0,0,2,1,High,Mixed,Israeli nuclear-linked strikes and Prince Sultan casualties,Avoided ground-force escalation and pushed postwar Hormuz planning,Diplomatic,Washington kept planning for maritime order while resisting a ground-war threshold.
2026-03-27,Israel,3,0,1,2,0,3,High,Escalating,Iranian retaliation capacity and stalled diplomacy,Expanded strikes to nuclear-linked and industrial targets,Iran,Israel widened target categories faster than diplomacy could constrain them.
2026-03-27,Iran,3,1,1,2,2,3,High,Retaliating,Israeli nuclear-linked strikes and aligned U.S. pressure,Threatened a heavy response and allowed limited humanitarian passage,MultiTheater,Tehran mixed harsh retaliation language with narrow shipping carveouts.
2026-03-27,Hezbollah,1,0,2,0,0,1,Medium,Holding,Continued Israeli operations and Iranian target shock,Stayed active-bounded rather than surging,Lebanon,Hezbollah remained relevant but did not replace the main maritime and state-level struggle.
2026-03-27,Hashd,0,0,1,0,0,0,Low,Holding,Growing U.S.-Iran tension,Remained latent despite wider regional shocks,Iraq,Iraqi partner forces stayed more forecast risk than observed driver.
2026-03-27,Houthis,0,0,1,0,1,1,Medium,Pressuring,Widening war and possible multinational maritime mission,Signaled conditions for entry rather than leading attacks,YemenRedSea,The Houthis became more visibly relevant as a conditional escalator.
